condition,symptoms,causes,warnings,recommendations
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., chills",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Bronchitis,"persistent cough, shortness of breath, mucus production, fatigue, chest discomfort, fatigue",viral infection,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Pneumonia,"fatigue, chest pain, difficulty breathing, runny nose",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., sweating",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., irritability",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
COVID-19,"dry cough, breathing difficulty, loss of smell, muscle weakness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Diabetes,"frequent urination, increased thirst, slow healing wounds, blurred vision, fatigue, dry throat",inflammation of airways,persistent high fever requires medical attention,consult a healthcare professional
Common Cold,"mild fatigue, mild cough, runny nose, mild headache","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Pneumonia,"fatigue, fever, productive cough, difficulty breathing, blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., irritability",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., dry throat","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Dengue,"Severe body aches with fever, nausea, headache, and mild bleeding symptoms., nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., fatigue","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., chills","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Asthma,"shortness of breath, coughing at night, chest tightness, breathing difficulty, dry throat",bacterial infection,symptoms worsening rapidly should be evaluated by a doctor,monitor symptoms carefully
Migraine,"nausea, sensitivity to light, pulsating pain, severe headache, dry throat",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Common Cold,"mild fatigue, mild cough, runny nose, blurred vision",bacterial infection,symptoms worsening rapidly should be evaluated by a doctor,seek medical advice if symptoms persist
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., dizziness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., runny nose","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
